model,mse,mse_ci_lower,mse_ci_upper,mae,directional_accuracy,horizon
EvolveGCN-H (CASCADE),0.0005411382880993187,0.00036447142338147387,0.00074950212292606,0.011396230198442936,0.5,t1
Rolling Correlation,0.0006060740807009804,0.00043858647462153725,0.0008000572566387028,0.014220364037853622,0.4803921568627451,t1
VAR,0.0005647628930441923,0.00039873540500093486,0.0007602076853271451,0.01234922881473096,0.4715686274509804,t1
Static GCN,0.02401568554341793,0.023396730748936535,0.02472011069767177,0.1532258689403534,0.4892156862745098,t1
EvolveGCN-H (CASCADE),0.00022426366922445595,0.00018213273178844248,0.0002718366442422848,0.009441856294870377,0.503921568627451,t5
Rolling Correlation,0.0004720889711977169,0.00033541509490170193,0.0006747825711847658,0.01367174288538995,0.4931372549019608,t5
VAR,0.00022956888905702988,0.00018627801630783836,0.0002804805692448903,0.009613325190427301,0.4980392156862745,t5
Static GCN,0.005119604989886284,0.004925219854339957,0.0053352750488556925,0.06996887922286987,0.5372549019607843,t5
EvolveGCN-H (CASCADE),0.00022163994435686618,0.00017469842205173337,0.0002715820359298959,0.009324116632342339,0.4970588235294118,t10
Rolling Correlation,0.0003890475052349544,0.0003078178946796369,0.0004992355030874181,0.013174306590058478,0.4852941176470588,t10
VAR,0.0002155793789882685,0.0001693265176072057,0.00026072273330352095,0.009233064001977561,0.5078431372549019,t10
Static GCN,0.00045028532622382045,0.0003919863433111459,0.0005133261947776191,0.017505411058664322,0.44901960784313727,t10
