event,date,source,target,shock_val,spillover,shocked_pred,baseline_pred
COVID Crash,2020-03-12,SPY,EEM,-0.095,0.0004371628165245056,-0.01244325190782547,-0.012880414724349976
COVID Crash,2020-03-12,SPY,LQD,-0.095,0.00027489662170410156,-0.007146954536437988,-0.00742185115814209
COVID Crash,2020-03-12,SPY,HYG,-0.095,0.00040159374475479126,-0.011950358748435974,-0.012351952493190765
COVID Crash,2020-03-12,SPY,TLT,-0.095,0.0002761557698249817,-0.0075216144323349,-0.007797770202159882
COVID Crash,2020-03-12,SPY,GLD,-0.095,4.741549491882324e-05,-0.0049673691391944885,-0.005014784634113312
COVID Crash,2020-03-12,SPY,USO,-0.095,0.00033961236476898193,-0.009923979640007019,-0.010263592004776001
COVID Crash,2020-03-12,SPY,BTC,-0.095,0.0003105252981185913,-0.010555274784564972,-0.010865800082683563
COVID Crash,2020-03-12,SPY,ETH,-0.095,0.0003048926591873169,-0.010349750518798828,-0.010654643177986145
COVID Crash,2020-03-12,SPY,DXY,-0.095,0.0001214444637298584,-0.004954278469085693,-0.005075722932815552
FTX Collapse,2022-11-09,BTC,SPY,-0.246,0.0003166496753692627,5.891919136047363e-05,-0.00025773048400878906
FTX Collapse,2022-11-09,BTC,EEM,-0.246,0.00032200664281845093,0.0003379136323928833,1.5906989574432373e-05
FTX Collapse,2022-11-09,BTC,LQD,-0.246,0.0002632439136505127,-0.0002756267786026001,-0.0005388706922531128
FTX Collapse,2022-11-09,BTC,HYG,-0.246,0.0003412961959838867,-0.0007169246673583984,-0.0010582208633422852
FTX Collapse,2022-11-09,BTC,TLT,-0.246,6.539374589920044e-05,0.0031281933188438416,0.003062799572944641
FTX Collapse,2022-11-09,BTC,GLD,-0.246,0.00019097328186035156,0.0006203949451446533,0.00042942166328430176
FTX Collapse,2022-11-09,BTC,USO,-0.246,0.0001755356788635254,0.004461750388145447,0.004286214709281921
FTX Collapse,2022-11-09,BTC,ETH,-0.246,0.00027745217084884644,0.0021605193614959717,0.0018830671906471252
FTX Collapse,2022-11-09,BTC,DXY,-0.246,0.00029702484607696533,0.00021225214004516602,-8.477270603179932e-05
SVB Crisis,2023-03-10,SPY,EEM,-0.048,2.3446977138519287e-05,0.0036432594060897827,0.0036198124289512634
SVB Crisis,2023-03-10,SPY,LQD,-0.048,5.346536636352539e-05,0.0026140883564949036,0.002560622990131378
SVB Crisis,2023-03-10,SPY,HYG,-0.048,6.580352783203125e-05,0.0026830509305000305,0.0026172474026679993
SVB Crisis,2023-03-10,SPY,TLT,-0.048,1.9378960132598877e-05,0.0033893436193466187,0.0033699646592140198
SVB Crisis,2023-03-10,SPY,GLD,-0.048,1.9818544387817383e-05,0.005762308835983276,0.005742490291595459
SVB Crisis,2023-03-10,SPY,USO,-0.048,2.734363079071045e-05,0.009125322103500366,0.009097978472709656
SVB Crisis,2023-03-10,SPY,BTC,-0.048,3.9249658584594727e-05,0.0034111514687538147,0.00337190181016922
SVB Crisis,2023-03-10,SPY,ETH,-0.048,3.960728645324707e-05,0.0033543556928634644,0.0033147484064102173
SVB Crisis,2023-03-10,SPY,DXY,-0.048,2.769380807876587e-05,0.005274273455142975,0.005246579647064209
2022 Rate Shock,2022-06-13,TLT,SPY,-0.031,1.9609928131103516e-05,0.0024471431970596313,0.002427533268928528
2022 Rate Shock,2022-06-13,TLT,EEM,-0.031,7.018446922302246e-06,0.002761662006378174,0.0027546435594558716
2022 Rate Shock,2022-06-13,TLT,LQD,-0.031,9.207427501678467e-05,0.0027512460947036743,0.0026591718196868896
2022 Rate Shock,2022-06-13,TLT,HYG,-0.031,5.124509334564209e-05,0.0025378167629241943,0.0024865716695785522
2022 Rate Shock,2022-06-13,TLT,GLD,-0.031,3.9927661418914795e-05,0.005658581852912903,0.005618654191493988
2022 Rate Shock,2022-06-13,TLT,USO,-0.031,0.0,-0.004801124334335327,-0.004801124334335327
2022 Rate Shock,2022-06-13,TLT,BTC,-0.031,0.0,0.0013211220502853394,0.0013211220502853394
2022 Rate Shock,2022-06-13,TLT,ETH,-0.031,0.0,7.618218660354614e-05,7.618218660354614e-05
2022 Rate Shock,2022-06-13,TLT,DXY,-0.031,1.5087425708770752e-05,0.003405340015888214,0.0033902525901794434
