robustness_check,parameter,horizon,mse,mae,directional_accuracy,baseline
corr_threshold,threshold=0.2,t1,0.0005411885795183,0.0114480489864945,0.4549019607843137,False
corr_threshold,threshold=0.2,t5,0.0002272451965836,0.0095471832901239,0.5009803921568627,False
corr_threshold,threshold=0.2,t10,0.0002220378955826,0.0094896806403994,0.5333333333333333,False
rolling_window,window=60d,t1,0.0005456302897073,0.0114525342360138,0.45,True
rolling_window,window=60d,t5,0.0002239623572677,0.0094754407182335,0.5137254901960784,True
rolling_window,window=60d,t10,0.0002202145551564,0.00929831340909,0.5254901960784314,True
corr_threshold,threshold=0.3,t1,0.0005456302897073,0.0114525342360138,0.45,True
corr_threshold,threshold=0.3,t5,0.0002239623572677,0.0094754407182335,0.5137254901960784,True
corr_threshold,threshold=0.3,t10,0.0002202145551564,0.00929831340909,0.5254901960784314,True
rolling_window,window=90d,t1,0.0005482949782162,0.0117606557905673,0.496078431372549,False
rolling_window,window=90d,t5,0.0002262958150822,0.0096147255972027,0.4735294117647058,False
rolling_window,window=90d,t10,0.0002266981464345,0.0094565618783235,0.5264705882352941,False
corr_threshold,threshold=0.4,t1,0.0005535111995413,0.0113268457353115,0.4705882352941176,False
corr_threshold,threshold=0.4,t5,0.000229691111599,0.0097624482586979,0.446078431372549,False
corr_threshold,threshold=0.4,t10,0.0002195260312873,0.0093013951554894,0.5147058823529411,False
asset_universe,11-asset (full),t1,0.0005456302897073,0.0114525342360138,0.45,True
asset_universe,11-asset (full),t5,0.0002239623572677,0.0094754407182335,0.5137254901960784,True
asset_universe,11-asset (full),t10,0.0002202145551564,0.00929831340909,0.5254901960784314,True
rolling_window,window=30d,t1,0.0005477185477502,0.011699179187417,0.4705882352941176,False
rolling_window,window=30d,t5,0.0002236552973045,0.009458371438086,0.4901960784313725,False
rolling_window,window=30d,t10,0.0002258907043142,0.009454452432692,0.5186274509803922,False
asset_universe,"8-asset (drop GLD,USO)",t1,0.0006326896254904,0.0118231102824211,0.4779411764705882,False
asset_universe,"8-asset (drop GLD,USO)",t5,0.0002411152090644,0.0096845366060733,0.4595588235294117,False
asset_universe,"8-asset (drop GLD,USO)",t10,0.0002296873717568,0.0090546235442161,0.5367647058823529,False
