model,horizon,mse,mse_ci_lower,mse_ci_upper,mae,ci_width
EvolveGCN-H (CASCADE),t1,0.00054114,0.00036026,0.00072882,0.01139623,0.00036856
Rolling Correlation,t1,0.00060607,0.00043394,0.00079617,0.01422036,0.00036223
VAR,t1,0.00056476,0.00038841,0.00074498,0.01234923,0.00035657
Static GCN,t1,0.02401569,0.02333158,0.02467526,0.15322587,0.00134369
EvolveGCN-H (CASCADE),t5,0.00022426,0.00017642,0.00026378,0.00944186,8.735e-05
Rolling Correlation,t5,0.00047209,0.00029887,0.00064835,0.01367174,0.00034948
VAR,t5,0.00022957,0.00018236,0.00027748,0.00961333,9.512e-05
Static GCN,t5,0.0051196,0.00490881,0.0053345,0.06996888,0.00042569
EvolveGCN-H (CASCADE),t10,0.00022164,0.00017268,0.0002722,0.00932412,9.952e-05
Rolling Correlation,t10,0.00038905,0.00029823,0.00047849,0.01317431,0.00018026
VAR,t10,0.00021558,0.00017096,0.00025868,0.00923306,8.772e-05
Static GCN,t10,0.00045029,0.00038794,0.00051071,0.01750541,0.00012277
